day,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
01,2,,,0,2,,,,,2,,,2,2,,0,2,,1,,,2,,
02,2,,,2,2,,1,,,2,,,2,2,,2,3,,1,,1,2,,1
03,2,,,2,3,,1,,1,2,,1,3,3,,2,,1,,,1,2,,1
04,3,,,2,,1,,,1,2,,1,,,1,2,,1,,,,2,1,
05,,,1,3,,1,,,,2,1,,,1,1,3,,,,1,,2,1,
06,,0,1,,,,,1,,2,1,,,,,,1,,,1,,2,,
07,,2,,,1,,,1,,2,,,1,,,,1,,,,,2,,
08,,2,,,1,0,,,,3,,,1,,,1,,,1,,,2,,
09,1,2,,1,,2,1,,,,,,,,,1,,,1,,1,3,,1
10,1,2,,1,,2,1,,1,,,1,,,,,,1,,,1,,,1
11,,2,,,,2,,,1,,,1,,1,1,,,1,,,,,1,
12,,2,1,,,3,,,,,1,,,1,1,,,,,1,,,1,
13,,2,1,,,,,1,,,1,,,,,,1,,,1,,,,
14,,3,,,1,,,1,0,,,,1,,,,1,,,,,1,,
15,,,,,1,,,,2,1,,,1,,,1,,,1,,,1,,
16,1,,,1,,,1,,2,1,,,,,,1,,,1,,1,,,1
17,1,,,1,,,1,,2,,,1,,,,,,1,,,1,,,1
18,,,,,,1,,,3,,,1,,1,1,,,1,,,,,1,
19,,,1,,,1,,,,,1,,,1,1,,,,,1,,,1,
20,,1,1,,,,,1,,,1,,,,,,1,,,1,,,,
21,,1,,,1,,,1,,,,,1,,,,1,,,,,1,,
22,,,,,1,,,,,1,,,,,,1,,,1,,,1,,
23,1,,,1,,,1,,,1,,,,,,1,,,1,,1,,,1
24,1,,,1,,,1,,1,,,1,,,,,,1,,,1,,,1
25,,,,,,1,,,1,,,1,,1,1,,,1,,,,,1,
26,,,1,,,1,,,,,1,,0,1,1,,,,,1,,,1,
27,,1,1,,,,,1,,,1,,2,,,,0,,,1,,,,
28,,1,,,1,,,1,,,,,2,,,0,2,,,,,1,,
29,,,,0,1,,,,,1,,,2,,,2,2,,1,,,1,,
30,1,,,2,,,1,,0,1,,0,2,,,2,2,,1,,0,,,1
31,1,,,,,,1,,,,,2,2,,,,3,,,,,,,1
